PMID,DOI,Title,Keywords,FullTextPath,PDFPath,SupplementaryMaterialPath,Relevance,Notes
26223342,10.1002/cne.23865,"Conserved size and periodicity of pyramidal patches in layer 2 of medial/caudal entorhinal cortex","Calbindin-positive Pyramidal Neuron Patches; Conserved Patch Size And Cell Number Per Patch; Grid-like Arrangement Of Patches In Layer 2; Variable Patch Number And Cholinergic Innervation Pattern",saved to tool-results/mcp-artl-mcp-get_europepmc_full_text-1777978557296.txt,Not retrieved — PDF not saved,Not attempted,HIGH,Key paper establishing stellate vs pyramidal distinction in MEC layer 2 across mammalian species.
26711115,10.1016/j.neuron.2015.11.029,"Local and Distant Input Controlling Excitation in Layer II of the Medial Entorhinal Cortex","",saved to tool-results/mcp-artl-mcp-get_europepmc_full_text-1777978560335.txt,Not retrieved,Not attempted,HIGH,Confirms calbindin/reelin marker distinction for pyramidal/stellate cells in MEC LII.
20512133,10.1038/nn.2570,"Target-selective GABAergic control of entorhinal cortex output","",Not retrieved,Not retrieved,Not attempted,HIGH,Demonstrates target-selective innervation of MEC layer II principal cells.
34949991,10.3389/fncir.2021.790116,"Laminar Organization of the Entorhinal Cortex in Macaque Monkeys","Primates; Calbindin; Reelin; Medial Entorhinal Cortex",Not retrieved,Not retrieved,Not attempted,MODERATE,Confirms reelin/calbindin marker distinction across species.
24671999,10.1523/jneurosci.3813-13.2014,"Dendritic inhibition provided by interneuron-specific cells controls the firing rate and timing of the hippocampal feedback inhibitory circuitry","Hippocampus; Inhibition; Dendrite; Interneuron; Optogenetics",tool-results cache,Not separately retrieved,Not attempted,HIGH,IS-3 cells in mouse CA1.
37467748,10.1016/j.neuron.2023.06.016,"Hippocampal GABAergic interneurons and memory","Memory; Hippocampus; Connectivity; Disinhibition; Oscillations; Plasticity; Interneurons",tool-results/mcp-artl-mcp-get_europepmc_full_text-1777987701428.txt,No PDF available,Not attempted,HIGH,Major review confirming IS subtype scheme.
39401246,10.1371/journal.pbio.3002837,"Functional networks of inhibitory neurons orchestrate synchrony in the hippocampus","CA1; Optogenetics; Interneurons",tool-results/mcp-artl-mcp-get_europepmc_full_text-1778752668470.txt,Not separately retrieved,Not attempted,MODERATE,In vivo all-optical study of CA1 interneurons including PV basket cells.
25018703,10.3389/fnana.2014.00056,"Localization of the cannabinoid CB1 receptor and the 2-AG synthesizing and degrading enzymes in cells expressing Ca2+-binding proteins in the adult rat hippocampus","Immunohistochemistry; Hippocampus; Rat; Calcium-binding protein",tool-results/mcp-artl-mcp-get_europepmc_full_text-1778752670437.txt,Not separately retrieved,Not attempted,HIGH,Parvalbumin+ interneurons in pyramidal layers CA1/CA3; confirms soma location of PV cells.
7472426,10.1523/jneurosci.15-10-06651.1995,"Hippocampal CA1 interneurons: an in vivo intracellular labeling study","Hippocampus; Interneurons; Parvalbumin; Basket cells; CA1",Not available as XML full text,Not retrieved via PDF converter,Not attempted,HIGH,Foundational morphological characterisation of CA1 basket cells. PV immunoreactive; axons confined to pyramidal layer; single cell contacts >1500 pyramidal neurons.
25324774,10.3389/fnsyn.2014.00023,"Dendritic inhibition mediated by O-LM and bistratified interneurons in the hippocampus","Modulation; Theta Oscillation; Dendritic Inhibition; O-LM interneuron; Bistratified Interneuron",tool-results PMC4179767,Not separately retrieved,Not attempted,MODERATE,Review of dendrite-targeting interneurons. Mentions basket cells peripherally in context of perisomatic vs dendritic inhibition.
